init_preserve,min_merge,similarity,window,avg_centroids,avg_recon,avg_rand,ratio
,,0.3,50,1,19875.30928595378,41636.79296875,0.477349667657424
,,0.3,200,1,21148.46467732679,41636.79296875,0.507927320271749
,,0.5,50,1,19875.30928595378,41636.79296875,0.477349667657424
,,0.5,200,1,21148.46467732679,41636.79296875,0.507927320271749
,,0.7,50,1,19875.30928595378,41636.79296875,0.477349667657424
,,0.7,200,1,21148.46467732679,41636.79296875,0.507927320271749
,0.6,0.3,50,1,19875.30928595378,41636.79296875,0.477349667657424
,0.6,0.3,200,1,21148.46467732679,41636.79296875,0.507927320271749
,0.6,0.5,50,1,19875.30928595378,41636.79296875,0.477349667657424
,0.6,0.5,200,1,21148.46467732679,41636.79296875,0.507927320271749
,0.6,0.7,50,1,19875.30928595378,41636.79296875,0.477349667657424
,0.6,0.7,200,1,21148.46467732679,41636.79296875,0.507927320271749
,0.8,0.3,50,1,19875.30928595378,41636.79296875,0.477349667657424
,0.8,0.3,200,1,21148.46467732679,41636.79296875,0.507927320271749
,0.8,0.5,50,1,19875.30928595378,41636.79296875,0.477349667657424
,0.8,0.5,200,1,21148.46467732679,41636.79296875,0.507927320271749
,0.8,0.7,50,1,19875.30928595378,41636.79296875,0.477349667657424
,0.8,0.7,200,1,21148.46467732679,41636.79296875,0.507927320271749
2,,0.3,50,128,226.27684783935547,86.45944213867188,2.6171444349181496
2,,0.3,200,128,7211.771647135417,86.45944213867188,83.41219268531029
2,,0.5,50,128,63.93081410725912,86.45944213867188,0.739431258470533
2,,0.5,200,128,6744.4638671875,86.45944213867188,78.00725635460392
2,,0.7,50,128,63.93081410725912,86.45944213867188,0.739431258470533
2,,0.7,200,128,6744.4638671875,86.45944213867188,78.00725635460392
2,0.6,0.3,50,128,226.27684783935547,86.45944213867188,2.6171444349181496
2,0.6,0.3,200,128,7211.771647135417,86.45944213867188,83.41219268531029
2,0.6,0.5,50,128,63.93081410725912,86.45944213867188,0.739431258470533
2,0.6,0.5,200,128,6744.4638671875,86.45944213867188,78.00725635460392
2,0.6,0.7,50,128,63.93081410725912,86.45944213867188,0.739431258470533
2,0.6,0.7,200,128,6744.4638671875,86.45944213867188,78.00725635460392
2,0.8,0.3,50,128,226.27684783935547,86.45944213867188,2.6171444349181496
2,0.8,0.3,200,128,7211.771647135417,86.45944213867188,83.41219268531029
2,0.8,0.5,50,128,63.93081410725912,86.45944213867188,0.739431258470533
2,0.8,0.5,200,128,6744.4638671875,86.45944213867188,78.00725635460392
2,0.8,0.7,50,128,63.93081410725912,86.45944213867188,0.739431258470533
2,0.8,0.7,200,128,6744.4638671875,86.45944213867188,78.00725635460392
5,,0.3,50,128,103.01641082763672,87.13035329182942,1.182325182162389
5,,0.3,200,128,6758.40283203125,87.13035329182942,77.56657211517283
5,,0.5,50,128,63.93081410725912,87.13035329182942,0.7337375747018055
5,,0.5,200,128,6744.4638671875,87.13035329182942,77.4065938261251
5,,0.7,50,128,63.93081410725912,87.13035329182942,0.7337375747018055
5,,0.7,200,128,6744.4638671875,87.13035329182942,77.4065938261251
5,0.6,0.3,50,128,103.01641082763672,87.13035329182942,1.182325182162389
5,0.6,0.3,200,128,6758.40283203125,87.13035329182942,77.56657211517283
5,0.6,0.5,50,128,63.93081410725912,87.13035329182942,0.7337375747018055
5,0.6,0.5,200,128,6744.4638671875,87.13035329182942,77.4065938261251
5,0.6,0.7,50,128,63.93081410725912,87.13035329182942,0.7337375747018055
5,0.6,0.7,200,128,6744.4638671875,87.13035329182942,77.4065938261251
5,0.8,0.3,50,128,103.01641082763672,87.13035329182942,1.182325182162389
5,0.8,0.3,200,128,6758.40283203125,87.13035329182942,77.56657211517283
5,0.8,0.5,50,128,63.93081410725912,87.13035329182942,0.7337375747018055
5,0.8,0.5,200,128,6744.4638671875,87.13035329182942,77.4065938261251
5,0.8,0.7,50,128,63.93081410725912,87.13035329182942,0.7337375747018055
5,0.8,0.7,200,128,6744.4638671875,87.13035329182942,77.4065938261251
10,,0.3,50,128,69.12823740641277,86.40517679850261,0.8000474041922214
10,,0.3,200,128,6651.1201171875,86.40517679850261,76.97594477120133
10,,0.5,50,128,63.90291086832682,86.40517679850261,0.7395727112201629
10,,0.5,200,128,6744.412109375,86.40517679850261,78.05564850706726
10,,0.7,50,128,63.90291086832682,86.40517679850261,0.7395727112201629
10,,0.7,200,128,6744.412109375,86.40517679850261,78.05564850706726
10,0.6,0.3,50,128,69.12823740641277,86.40517679850261,0.8000474041922214
10,0.6,0.3,200,128,6651.1201171875,86.40517679850261,76.97594477120133
10,0.6,0.5,50,128,63.90291086832682,86.40517679850261,0.7395727112201629
10,0.6,0.5,200,128,6744.412109375,86.40517679850261,78.05564850706726
10,0.6,0.7,50,128,63.90291086832682,86.40517679850261,0.7395727112201629
10,0.6,0.7,200,128,6744.412109375,86.40517679850261,78.05564850706726
10,0.8,0.3,50,128,69.12823740641277,86.40517679850261,0.8000474041922214
10,0.8,0.3,200,128,6651.1201171875,86.40517679850261,76.97594477120133
10,0.8,0.5,50,128,63.90291086832682,86.40517679850261,0.7395727112201629
10,0.8,0.5,200,128,6744.412109375,86.40517679850261,78.05564850706726
10,0.8,0.7,50,128,63.90291086832682,86.40517679850261,0.7395727112201629
10,0.8,0.7,200,128,6744.412109375,86.40517679850261,78.05564850706726
